Organization,Raw Grade Code,Normalized Grade Family,Normalized Seniority Tier,International / National / Local,Staff / Consultant / Contractor / Other,Approximate UN Equivalent,Approximate Experience Range,Typical Role Scope,Supervisory Expectations,Notes / Caveats,Confidence Level,Evidence Type
Asian Development Bank,AS1,AS,T1_ENTRY_SUPPORT,Local,Staff,G1 - G2,0-3 years,Administrative support,,ADB admin ladder mapped to GS support,MEDIUM,refined mapping
Asian Development Bank,AS2,AS,T1_ENTRY_SUPPORT,Local,Staff,G2 - G3,2-4 years,Senior assistant,,ADB admin ladder mapped to GS support,MEDIUM,refined mapping
Asian Development Bank,AS3,AS,T1_ENTRY_SUPPORT,Local,Staff,G3 - G4,3-5 years,Program/Team assistant,Limited coordination,ADB admin ladder mapped to GS support,HIGH,refined mapping
Asian Development Bank,AS4,AS,T2_JUNIOR_PROFESSIONAL,Local,Staff,G4 - G5,4-6 years,Senior assistant/associate support,May coordinate tasks,ADB legacy AS/NS/IS ladder mapping; functional UN-equivalence only.,HIGH,refined mapping
Asian Development Bank,AS5,AS,T2_JUNIOR_PROFESSIONAL,Local,Staff,G5,5-7 years,Senior administrative associate,May supervise junior support,ADB legacy AS/NS/IS ladder mapping; functional UN-equivalence only.,HIGH,refined mapping
Asian Development Bank,AS6,AS,T2_JUNIOR_PROFESSIONAL,Local,Staff,G6,6-8 years,Senior associate / analyst support,May supervise support staff,ADB legacy AS/NS/IS ladder mapping; functional UN-equivalence only.,HIGH,refined mapping
Asian Development Bank,AS7,AS,T2_T3,Local,Staff,G6 - G7,7-10 years,Lead associate / quasi-analyst support,May supervise small team,ADB legacy AS/NS/IS ladder mapping; functional UN-equivalence only.,HIGH,refined mapping
Asian Development Bank,NS1,NS,T2_JUNIOR_PROFESSIONAL,National,Staff,NO-A - NO-B,2-5 years,Associate officer,,ADB legacy AS/NS/IS ladder mapping; functional UN-equivalence only.,HIGH,refined mapping
Asian Development Bank,NS2,NS,T2_T3,National,Staff,NO-B,4-6 years,Junior officer,May coordinate partners,ADB legacy AS/NS/IS ladder mapping; functional UN-equivalence only.,HIGH,refined mapping
Asian Development Bank,NS3,NS,T3_MID_PROFESSIONAL,National,Staff,NO-C,5-8 years,Officer / specialist,May supervise junior staff,ADB legacy AS/NS/IS ladder mapping; functional UN-equivalence only.,HIGH,refined mapping
Asian Development Bank,NS4,NS,T3_MID_PROFESSIONAL,National,Staff,NO-C - NO-D,7-10 years,Senior officer / specialist,May supervise team,ADB legacy AS/NS/IS ladder mapping; functional UN-equivalence only.,MEDIUM,refined mapping
Asian Development Bank,NS5,NS,T3_T4,National,Staff,NO-C - NO-D,8-12 years,Lead national specialist,Supervisory likely,ADB legacy AS/NS/IS ladder mapping; functional UN-equivalence only.,MEDIUM,refined mapping
Asian Development Bank,NS6,NS,T4_SENIOR_PROFESSIONAL,National,Staff,NO-D / P3,10-15 years,Principal national specialist,Supervisory,ADB legacy AS/NS/IS ladder mapping; NO/P overlap is functional and not a salary or mobility equivalence.,LOW,dual mapping (NO/P overlap)
Asian Development Bank,NS7,NS,T4_SENIOR_PROFESSIONAL,National,Staff,P4,12-18 years,Senior principal national specialist / advisor,Supervisory,ADB legacy AS/NS/IS ladder mapping; NO/P overlap is functional and not a salary or mobility equivalence.,LOW,dual mapping (NO/P overlap)
Asian Development Bank,IS1,IS,T1_ENTRY_SUPPORT,International,Staff,P1,0-2 years,Junior international professional,,ADB legacy AS/NS/IS ladder mapping; functional UN-equivalence only.,HIGH,refined mapping
Asian Development Bank,IS2,IS,T2_JUNIOR_PROFESSIONAL,International,Staff,P2,2-5 years,Analyst / junior specialist,,ADB legacy AS/NS/IS ladder mapping; functional UN-equivalence only.,HIGH,refined mapping
Asian Development Bank,IS3,IS,T3_MID_PROFESSIONAL,International,Staff,P3,5-8 years,Professional / specialist,May supervise juniors,ADB legacy AS/NS/IS ladder mapping; functional UN-equivalence only.,HIGH,refined mapping
Asian Development Bank,IS4,IS,T3_MID_PROFESSIONAL,International,Staff,P3,6-9 years,Experienced specialist,May supervise,ADB legacy AS/NS/IS ladder mapping; functional UN-equivalence only.,HIGH,refined mapping
Asian Development Bank,IS5,IS,T4_SENIOR_PROFESSIONAL,International,Staff,P4,8-12 years,Senior specialist / lead,Supervisory,ADB legacy AS/NS/IS ladder mapping; functional UN-equivalence only.,HIGH,refined mapping
Asian Development Bank,IS6,IS,T4_SENIOR_PROFESSIONAL,International,Staff,P4 - P5,10-15 years,Principal specialist,Supervisory,ADB legacy AS/NS/IS ladder mapping; functional UN-equivalence only.,MEDIUM,refined mapping
Asian Development Bank,IS7,IS,T4_T5,International,Staff,D1,12-18 years,Lead specialist / division-level advisor,Senior supervisory,ADB legacy AS/NS/IS ladder mapping; functional UN-equivalence only.,HIGH,refined mapping
Asian Development Bank,IS8,IS,T4_T5,International,Staff,D1,14-20 years,Senior lead advisor / manager,Senior supervisory,ADB legacy AS/NS/IS ladder mapping; functional UN-equivalence only.,HIGH,refined mapping
Asian Development Bank,IS9,IS,T5_PRINCIPAL_MANAGER,International,Staff,D2,15-20+ years,Director / senior manager,Institutional management,ADB legacy AS/NS/IS ladder mapping; functional UN-equivalence only.,HIGH,refined mapping
Asian Development Bank,IS10,IS,T5_EXECUTIVE,International,Staff,ASG - USG,20+ years,Executive leadership,Top-level management,ADB legacy AS/NS/IS ladder mapping; functional UN-equivalence only.,MEDIUM,refined mapping
United Nations Careers / UN Secretariat,P-1,UN International Professional,T1_ENTRY_SUPPORT,International,Staff,P-1,0-2 years,Entry professional analysis under close supervision,Normally none,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy.,HIGH,official common-system / same-code mapping
United Nations Careers / UN Secretariat,P-2,UN International Professional,T2_JUNIOR_PROFESSIONAL,International,Staff,P-2,2-4 years,Junior professional/officer; defined portfolio,Normally none; may coordinate vendors/consultants,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy.,HIGH,official common-system / same-code mapping
United Nations Careers / UN Secretariat,P-3,UN International Professional,T3_MID_PROFESSIONAL,International,Staff,P-3,5-7 years,Independent professional ownership of workstream or project,May supervise junior staff/consultants,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy.,HIGH,official common-system / same-code mapping
United Nations Careers / UN Secretariat,P-4,UN International Professional,T4_SENIOR_PROFESSIONAL,International,Staff,P-4,7-10 years,"Senior specialist; complex programme, policy or technical leadership",Often supervises staff/consultants,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy.,HIGH,official common-system / same-code mapping
